Product Name,Sales,Cost,Gross Profit,Units,Margin %,Cost Ratio %
Everlasting Gobstopper,130.0,26.0,104.0,13,80.0,20.0
Fizzy Lifting Drinks,78.75,31.5,47.25,21,60.0,40.0
Fun Dip,12.0,7.2,4.8,8,40.0,60.0
Hair Toffee,76.5,17.0,59.5,17,77.78,22.22
Kazookles,1205.75,1113.0,92.75,371,7.69,92.31
Laffy Taffy,53.73,20.25,33.480000000000004,27,62.31,37.69
Lickable Wallpaper,7860.0,3930.0,3930.0,393,50.0,50.0
Nerds,15.0,8.0,7.0,10,46.67,53.33
SweeTARTS,61.5,32.8,28.7,41,46.67,53.33
Wonka Bar - Fudge Mallows,24890.4,8296.8,16593.6,6914,66.67,33.33
Wonka Bar - Milk Chocolate,26867.75,9424.38,17443.37,8267,64.92,35.08
Wonka Bar - Nutty Crunch Surprise,23574.95,6755.0,16819.95,6755,71.35,28.65
Wonka Bar - Triple Dazzle Caramel,28485.0,9874.8,18610.2,7596,65.33,34.67
Wonka Bar -Scrumdiddlyumptious,27874.8,8517.3,19357.5,7743,69.44,30.56
Wonka Gum,597.5,286.8,310.7,478,52.0,48.0
