Product Name,Sales,Cumulative Sales,Cumulative Revenue %
Wonka Bar - Triple Dazzle Caramel,28485.0,28485.0,20.09
Wonka Bar -Scrumdiddlyumptious,27874.8,56359.8,39.75
Wonka Bar - Milk Chocolate,26867.75,83227.55,58.7
Wonka Bar - Fudge Mallows,24890.4,108117.95000000001,76.26
Wonka Bar - Nutty Crunch Surprise,23574.95,131692.90000000002,92.88
Lickable Wallpaper,7860.0,139552.90000000002,98.43
Kazookles,1205.75,140758.65000000002,99.28
Wonka Gum,597.5,141356.15000000002,99.7
Everlasting Gobstopper,130.0,141486.15000000002,99.79
Fizzy Lifting Drinks,78.75,141564.90000000002,99.85
Hair Toffee,76.5,141641.40000000002,99.9
SweeTARTS,61.5,141702.90000000002,99.94
Laffy Taffy,53.73,141756.63000000003,99.98
Nerds,15.0,141771.63000000003,99.99
Fun Dip,12.0,141783.63000000003,100.0
