Product Name,Sales,Units,Gross Profit,Profit Contribution %,profit per unit,Gross Margin %
Everlasting Gobstopper,130.0,13,104.0,0.11,8.0,80.0
Fizzy Lifting Drinks,78.75,21,47.25,0.05,2.25,60.0
Fun Dip,12.0,8,4.8,0.01,0.6,40.0
Hair Toffee,76.5,17,59.5,0.06,3.5,77.78
Kazookles,1205.75,371,92.75,0.1,0.25,7.69
Laffy Taffy,53.73,27,33.480000000000004,0.04,1.2400000000000002,62.31
Lickable Wallpaper,7860.0,393,3930.0,4.21,10.0,50.0
Nerds,15.0,10,7.0,0.01,0.7,46.67
SweeTARTS,61.5,41,28.7,0.03,0.7,46.67
Wonka Bar - Fudge Mallows,24890.4,6914,16593.6,17.76,2.4,66.67
Wonka Bar - Milk Chocolate,26867.75,8267,17443.37,18.67,2.11,64.92
Wonka Bar - Nutty Crunch Surprise,23574.95,6755,16819.95,18.0,2.49,71.35
Wonka Bar - Triple Dazzle Caramel,28485.0,7596,18610.2,19.92,2.45,65.33
Wonka Bar -Scrumdiddlyumptious,27874.8,7743,19357.5,20.72,2.5,69.44
Wonka Gum,597.5,478,310.7,0.33,0.65,52.0
